goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 944cb5a4,T #5,fire_team_a,defence,false,n3,n3,type_c,2,13645,126566,136888,3,1,2,SwitchMode1,1,n_a
Goal number 944cb5a4,T #6,fire_team_b,manoeuvre,false,n5,n5,type_a,1,10236,136853,136888,3,1,2,SwitchMode1,1,n_a
Goal number f1493d1a,T #1,fire_team_b,manoeuvre,false,n4,n4,type_a,2,79525,79607,199535,2,3,1,SwitchMode1,1,n_a
Goal number f1493d1a,T #2,fire_team_b,manoeuvre,false,n5,n5,type_b,3,15807,95476,199535,2,3,1,SwitchMode1,1,n_a
Goal number f1493d1a,T #3,fire_team_b,manoeuvre,false,n5,n5,type_a,3,44751,140277,199535,2,3,1,SwitchMode1,1,n_a
Goal number f1493d1a,T #4,fire_team_b,manoeuvre,false,n5,n5,type_c,3,35259,175610,199535,2,3,1,SwitchMode1,1,n_a
Goal number f1493d1a,T #5,fire_team_a,defence,false,n1,n1,type_b,3,10243,185906,199535,2,3,1,SwitchMode1,1,n_a
Goal number f1493d1a,T #6,fire_team_b,manoeuvre,false,n6,n6,type_b,3,13539,199507,199535,2,3,1,SwitchMode1,1,n_a
Goal number 32d24fd7,T #1,fire_team_b,manoeuvre,false,n4,n4,type_c,2,72302,72374,171707,2,2,2,SwitchMode1,1,n_a
Goal number 32d24fd7,T #2,fire_team_b,manoeuvre,false,n5,n5,type_b,2,8935,81471,171707,2,2,2,SwitchMode1,1,n_a
Goal number 32d24fd7,T #3,fire_team_a,defence,false,n2,n2,type_a,2,37391,118925,171707,2,2,2,SwitchMode1,1,n_a
Goal number 32d24fd7,T #4,fire_team_a,defence,false,n2,n2,type_c,3,25386,144364,171707,2,2,2,SwitchMode1,1,n_a
Goal number 32d24fd7,T #5,fire_team_b,manoeuvre,false,n4,n4,type_a,2,20258,164674,171707,2,2,2,SwitchMode1,1,n_a
Goal number 32d24fd7,T #6,fire_team_a,defence,false,n3,n3,type_b,2,6913,171661,171707,2,2,2,SwitchMode1,1,n_a
Goal number e6f3ed8c,T #1,fire_team_b,manoeuvre,false,n5,n5,type_a,3,43316,43402,206298,5,1,0,SwitchMode1,1,n_a
Goal number e6f3ed8c,T #2,fire_team_b,manoeuvre,false,n6,n6,type_a,2,20466,63929,206298,5,1,0,SwitchMode1,1,n_a
Goal number e6f3ed8c,T #3,fire_team_a,defence,false,n1,n1,type_a,1,54979,118979,206298,5,1,0,SwitchMode1,1,n_a
Goal number e6f3ed8c,T #4,fire_team_b,manoeuvre,false,n6,n6,type_a,1,52264,171307,206298,5,1,0,SwitchMode1,1,n_a
Goal number e6f3ed8c,T #5,fire_team_a,defence,false,n1,n1,type_a,3,31140,202504,206298,5,1,0,SwitchMode1,1,n_a
Goal number e6f3ed8c,T #6,fire_team_a,defence,false,n2,n2,type_b,1,3677,206238,206298,5,1,0,SwitchMode1,1,n_a
Goal number 22e0ae54,T #1,fire_team_a,defence,false,n1,n1,type_c,3,104539,104611,191444,1,1,4,SwitchMode1,1,n_a
Goal number 22e0ae54,T #2,fire_team_a,defence,false,n1,n1,type_c,2,17759,122433,191444,1,1,4,SwitchMode1,1,n_a
Goal number 22e0ae54,T #3,fire_team_b,manoeuvre,false,n5,n5,type_c,1,17746,140329,191444,1,1,4,SwitchMode1,1,n_a
Goal number 22e0ae54,T #4,fire_team_a,defence,false,n3,n3,type_a,3,38677,179064,191444,1,1,4,SwitchMode1,1,n_a
Goal number 22e0ae54,T #5,fire_team_b,manoeuvre,false,n5,n5,type_b,2,6908,186059,191444,1,1,4,SwitchMode1,1,n_a
Goal number 22e0ae54,T #6,fire_team_a,defence,false,n2,n2,type_c,1,5275,191402,191444,1,1,4,SwitchMode1,1,n_a
Goal number 77cb2c04,T #1,fire_team_a,manoeuvre,false,n2,n2,type_a,1,10559,10638,104107,4,1,1,SwitchMode1,2,n_a
Goal number 77cb2c04,T #2,fire_team_a,manoeuvre,false,n1,n1,type_c,3,15268,25967,104107,4,1,1,SwitchMode1,2,n_a
Goal number 77cb2c04,T #3,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10238,36264,104107,4,1,1,SwitchMode1,2,n_a
Goal number 77cb2c04,T #4,fire_team_a,manoeuvre,false,n3,n3,type_a,2,20395,56728,104107,4,1,1,SwitchMode1,2,n_a
Goal number 77cb2c04,T #5,fire_team_b,defence,false,n6,n6,type_a,3,40252,97068,104107,4,1,1,SwitchMode1,2,n_a
Goal number 77cb2c04,T #6,fire_team_b,defence,false,n4,n4,type_b,2,6913,104057,104107,4,1,1,SwitchMode1,2,n_a
