goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number e6f3ed8c,T #3,fire_team_b,manoeuvre,false,n5,n1,type_a,1,42369,119561,195968,5,1,0,SwitchMode1,2,n_a
Goal number e6f3ed8c,T #4,fire_team_b,manoeuvre,false,n4,n6,type_a,1,13221,132842,195968,5,1,0,SwitchMode1,2,n_a
Goal number e6f3ed8c,T #5,fire_team_b,manoeuvre,false,n6,n1,type_a,3,49381,182279,195968,5,1,0,SwitchMode1,2,n_a
Goal number e6f3ed8c,T #6,fire_team_b,manoeuvre,false,n6,n2,type_b,1,13609,195939,195968,5,1,0,SwitchMode1,2,n_a
Goal number f1493d1a,T #1,fire_team_b,manoeuvre,false,n6,n4,type_a,2,22639,22718,271205,2,3,1,SwitchMode1,2,n_a
Goal number f1493d1a,T #2,fire_team_b,manoeuvre,false,n6,n5,type_b,3,40290,63072,271205,2,3,1,SwitchMode1,2,n_a
Goal number f1493d1a,T #3,fire_team_b,manoeuvre,false,n6,n5,type_a,3,60420,123545,271205,2,3,1,SwitchMode1,2,n_a
Goal number f1493d1a,T #4,fire_team_b,manoeuvre,false,n4,n5,type_c,3,35131,158742,271205,2,3,1,SwitchMode1,2,n_a
Goal number f1493d1a,T #5,fire_team_b,manoeuvre,false,n5,n1,type_b,3,26120,184929,271205,2,3,1,SwitchMode1,2,n_a
Goal number f1493d1a,T #6,fire_team_b,manoeuvre,false,n5,n6,type_b,3,86172,271157,271205,2,3,1,SwitchMode1,2,n_a
Goal number 944cb5a4,T #1,fire_team_b,manoeuvre,false,n4,n1,type_b,1,7830,7907,221713,3,1,2,SwitchMode1,2,n_a
Goal number 944cb5a4,T #2,fire_team_b,manoeuvre,false,n5,n6,type_c,2,107024,115068,221713,3,1,2,SwitchMode1,2,n_a
Goal number 944cb5a4,T #3,fire_team_b,manoeuvre,false,n4,n3,type_a,2,21317,136452,221713,3,1,2,SwitchMode1,2,n_a
Goal number 944cb5a4,T #4,fire_team_b,manoeuvre,false,n5,n6,type_a,3,34148,170740,221713,3,1,2,SwitchMode1,2,n_a
Goal number 944cb5a4,T #5,fire_team_b,manoeuvre,false,n5,n3,type_c,2,30433,201235,221713,3,1,2,SwitchMode1,2,n_a
Goal number 944cb5a4,T #6,fire_team_b,manoeuvre,false,n5,n5,type_a,1,20364,221664,221713,3,1,2,SwitchMode1,2,n_a
Goal number c2246275,T #1,fire_team_b,manoeuvre,false,n6,n2,type_a,1,85234,85310,238668,2,2,2,SwitchMode1,2,n_a
Goal number c2246275,T #2,fire_team_b,manoeuvre,false,n5,n1,type_c,1,16844,102208,238668,2,2,2,SwitchMode1,2,n_a
Goal number c2246275,T #3,fire_team_b,manoeuvre,false,n4,n5,type_c,3,46757,149041,238668,2,2,2,SwitchMode1,2,n_a
Goal number c2246275,T #4,fire_team_b,manoeuvre,false,n4,n4,type_a,1,50699,199790,238668,2,2,2,SwitchMode1,2,n_a
Goal number c2246275,T #5,fire_team_b,manoeuvre,false,n5,n4,type_b,2,25970,225805,238668,2,2,2,SwitchMode1,2,n_a
Goal number c2246275,T #6,fire_team_b,manoeuvre,false,n6,n1,type_b,3,12642,238521,238668,2,2,2,SwitchMode1,2,n_a
