goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 32d24fd7,T #2,fire_team_a,manoeuvre,false,n3,n5,type_b,2,6999,23893,127843,2,2,2,Radio30s200,1,n_a
Goal number 32d24fd7,T #3,fire_team_a,manoeuvre,false,n1,n2,type_a,2,21171,45140,127843,2,2,2,Radio30s200,1,n_a
Goal number 32d24fd7,T #4,fire_team_a,manoeuvre,false,n1,n2,type_c,3,25176,70473,127843,2,2,2,Radio30s200,1,n_a
Goal number 32d24fd7,T #5,fire_team_a,manoeuvre,false,n3,n4,type_a,2,50231,120769,127843,2,2,2,Radio30s200,1,n_a
Goal number 32d24fd7,T #6,fire_team_a,manoeuvre,false,n2,n3,type_b,2,6957,127800,127843,2,2,2,Radio30s200,1,n_a
Goal number 546bafce,T #1,fire_team_a,manoeuvre,false,n2,n3,type_a,1,10284,10358,49686,1,4,1,Radio30s200,2,n_a
Goal number 546bafce,T #2,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10365,20775,49686,1,4,1,Radio30s200,2,n_a
Goal number 546bafce,T #3,fire_team_a,manoeuvre,false,n1,n1,type_b,2,6983,27806,49686,1,4,1,Radio30s200,2,n_a
Goal number 546bafce,T #4,fire_team_a,manoeuvre,false,n1,n4,type_b,1,3834,31696,49686,1,4,1,Radio30s200,2,n_a
Goal number 546bafce,T #5,fire_team_a,manoeuvre,false,n1,n6,type_b,2,7339,39083,49686,1,4,1,Radio30s200,2,n_a
Goal number 546bafce,T #6,fire_team_a,manoeuvre,false,n1,n1,type_b,3,10502,49643,49686,1,4,1,Radio30s200,2,n_a
Goal number 77cb2c04,T #1,fire_team_a,manoeuvre,false,n3,n2,type_a,1,10533,10703,96190,4,1,1,Radio30s200,2,n_a
Goal number 77cb2c04,T #2,fire_team_a,manoeuvre,false,n1,n1,type_c,3,15284,26036,96190,4,1,1,Radio30s200,2,n_a
Goal number 77cb2c04,T #3,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10285,36384,96190,4,1,1,Radio30s200,2,n_a
Goal number 77cb2c04,T #4,fire_team_a,manoeuvre,false,n3,n3,type_a,2,20300,56753,96190,4,1,1,Radio30s200,2,n_a
