goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 3d41497e,T #5,fire_team_b,manoeuvre,false,n5,n4,type_a,3,30480,118050,128867,3,1,2,Active_v2,1,n_a
Goal number 3d41497e,T #6,fire_team_a,manoeuvre,false,n1,n4,type_c,2,10609,128719,128867,3,1,2,Active_v2,1,n_a
Goal number 4c293caa,T #1,fire_team_b,manoeuvre,false,n4,n5,type_c,3,15425,15502,113349,3,0,3,Active_v2,1,n_a
Goal number 4c293caa,T #2,fire_team_b,manoeuvre,false,n4,n3,type_a,2,20360,35899,113349,3,0,3,Active_v2,1,n_a
Goal number 4c293caa,T #3,fire_team_b,manoeuvre,false,n4,n2,type_c,2,10405,46379,113349,3,0,3,Active_v2,1,n_a
Goal number 4c293caa,T #4,fire_team_a,manoeuvre,false,n3,n1,type_c,2,23491,69926,113349,3,0,3,Active_v2,1,n_a
Goal number 4c293caa,T #5,fire_team_a,manoeuvre,false,n3,n2,type_a,1,10605,80580,113349,3,0,3,Active_v2,1,n_a
Goal number 4c293caa,T #6,fire_team_a,manoeuvre,false,n1,n6,type_a,3,32659,113295,113349,3,0,3,Active_v2,1,n_a
Goal number 3bee68cb,T #1,fire_team_b,manoeuvre,false,n6,n1,type_b,2,7153,7217,46849,2,4,0,Active_v2,1,n_a
Goal number 3bee68cb,T #2,fire_team_b,manoeuvre,false,n6,n3,type_b,1,3696,10974,46849,2,4,0,Active_v2,1,n_a
Goal number 3bee68cb,T #3,fire_team_a,manoeuvre,false,n3,n3,type_b,2,6995,18129,46849,2,4,0,Active_v2,1,n_a
Goal number 3bee68cb,T #4,fire_team_a,manoeuvre,false,n3,n6,type_b,2,7736,25925,46849,2,4,0,Active_v2,1,n_a
Goal number 3bee68cb,T #5,fire_team_b,manoeuvre,false,n5,n6,type_a,1,10309,36291,46849,2,4,0,Active_v2,1,n_a
Goal number 3bee68cb,T #6,fire_team_b,manoeuvre,false,n5,n4,type_a,1,10455,46808,46849,2,4,0,Active_v2,1,n_a
Goal number f6b82573,T #1,fire_team_b,manoeuvre,false,n4,n5,type_a,1,10334,10404,83126,3,0,3,Active_v2,1,n_a
Goal number f6b82573,T #2,fire_team_b,manoeuvre,false,n4,n3,type_a,3,30422,40876,83126,3,0,3,Active_v2,1,n_a
Goal number f6b82573,T #3,fire_team_b,manoeuvre,false,n4,n5,type_c,3,15332,56259,83126,3,0,3,Active_v2,1,n_a
Goal number f6b82573,T #4,fire_team_b,manoeuvre,false,n4,n5,type_a,1,10301,66634,83126,3,0,3,Active_v2,1,n_a
Goal number f6b82573,T #5,fire_team_b,manoeuvre,false,n4,n5,type_c,1,5531,72239,83126,3,0,3,Active_v2,1,n_a
Goal number f6b82573,T #6,fire_team_b,manoeuvre,false,n6,n2,type_c,2,10781,83073,83126,3,0,3,Active_v2,1,n_a
Goal number f1493d1a,T #1,fire_team_a,manoeuvre,false,n2,n4,type_a,2,20545,20622,107624,2,3,1,Active_v2,1,n_a
Goal number f1493d1a,T #2,fire_team_a,manoeuvre,false,n1,n5,type_b,3,10542,31226,107624,2,3,1,Active_v2,1,n_a
Goal number f1493d1a,T #3,fire_team_a,manoeuvre,false,n2,n5,type_a,3,39600,70891,107624,2,3,1,Active_v2,1,n_a
Goal number f1493d1a,T #4,fire_team_a,manoeuvre,false,n2,n5,type_c,3,15719,86666,107624,2,3,1,Active_v2,1,n_a
Goal number f1493d1a,T #5,fire_team_a,manoeuvre,false,n3,n1,type_b,3,10334,97063,107624,2,3,1,Active_v2,1,n_a
Goal number f1493d1a,T #6,fire_team_a,manoeuvre,false,n2,n6,type_b,3,10453,107584,107624,2,3,1,Active_v2,1,n_a
Goal number 32d24fd7,T #1,fire_team_a,manoeuvre,false,n3,n4,type_c,2,10376,10443,85841,2,2,2,Active_v2,1,n_a
Goal number 32d24fd7,T #2,fire_team_a,manoeuvre,false,n3,n5,type_b,2,11417,21920,85841,2,2,2,Active_v2,1,n_a
Goal number 32d24fd7,T #3,fire_team_a,manoeuvre,false,n3,n2,type_a,2,20886,42872,85841,2,2,2,Active_v2,1,n_a
Goal number 32d24fd7,T #4,fire_team_b,manoeuvre,false,n5,n2,type_c,3,15340,58273,85841,2,2,2,Active_v2,1,n_a
Goal number 32d24fd7,T #5,fire_team_b,manoeuvre,false,n6,n4,type_a,2,20351,78678,85841,2,2,2,Active_v2,1,n_a
Goal number 32d24fd7,T #6,fire_team_a,manoeuvre,false,n3,n3,type_b,2,7062,85808,85841,2,2,2,Active_v2,1,n_a
Goal number e6f3ed8c,T #1,fire_team_a,manoeuvre,false,n1,n5,type_a,3,30309,30366,117141,5,1,0,Active_v2,1,n_a
Goal number e6f3ed8c,T #2,fire_team_a,manoeuvre,false,n1,n6,type_a,2,20601,51016,117141,5,1,0,Active_v2,1,n_a
Goal number e6f3ed8c,T #3,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10313,61397,117141,5,1,0,Active_v2,1,n_a
Goal number e6f3ed8c,T #4,fire_team_a,manoeuvre,false,n2,n6,type_a,1,10419,71872,117141,5,1,0,Active_v2,1,n_a
Goal number e6f3ed8c,T #5,fire_team_a,manoeuvre,false,n1,n1,type_a,3,41394,113328,117141,5,1,0,Active_v2,1,n_a
Goal number e6f3ed8c,T #6,fire_team_b,manoeuvre,false,n6,n2,type_b,1,3707,117087,117141,5,1,0,Active_v2,1,n_a
Goal number 530ce59d,T #1,fire_team_b,manoeuvre,false,n5,n4,type_c,2,11103,11171,59741,1,2,3,Active_v2,1,n_a
Goal number 530ce59d,T #2,fire_team_b,manoeuvre,false,n4,n6,type_c,2,10701,21934,59741,1,2,3,Active_v2,1,n_a
Goal number 530ce59d,T #3,fire_team_a,manoeuvre,false,n3,n5,type_a,2,20440,42435,59741,1,2,3,Active_v2,1,n_a
Goal number 530ce59d,T #4,fire_team_b,manoeuvre,false,n5,n4,type_c,1,5871,48359,59741,1,2,3,Active_v2,1,n_a
Goal number 530ce59d,T #5,fire_team_b,manoeuvre,false,n6,n3,type_b,1,3673,52101,59741,1,2,3,Active_v2,1,n_a
Goal number 530ce59d,T #6,fire_team_a,manoeuvre,false,n2,n6,type_b,2,7538,59708,59741,1,2,3,Active_v2,1,n_a
Goal number c2246275,T #1,fire_team_a,manoeuvre,false,n3,n2,type_a,1,22554,22622,72012,2,2,2,Active_v2,1,n_a
Goal number c2246275,T #2,fire_team_a,manoeuvre,false,n2,n1,type_c,1,5272,27957,72012,2,2,2,Active_v2,1,n_a
Goal number c2246275,T #3,fire_team_a,manoeuvre,false,n2,n5,type_c,3,15912,43944,72012,2,2,2,Active_v2,1,n_a
Goal number c2246275,T #4,fire_team_a,manoeuvre,false,n3,n4,type_a,1,10287,54286,72012,2,2,2,Active_v2,1,n_a
Goal number c2246275,T #5,fire_team_a,manoeuvre,false,n2,n4,type_b,2,7213,61549,72012,2,2,2,Active_v2,1,n_a
Goal number c2246275,T #6,fire_team_b,manoeuvre,false,n5,n1,type_b,3,10363,71964,72012,2,2,2,Active_v2,1,n_a
Goal number 22e0ae54,T #1,fire_team_b,manoeuvre,false,n6,n1,type_c,3,15467,15531,97624,1,1,4,Active_v2,1,n_a
Goal number 22e0ae54,T #2,fire_team_b,manoeuvre,false,n6,n1,type_c,2,11006,26607,97624,1,1,4,Active_v2,1,n_a
Goal number 22e0ae54,T #3,fire_team_a,manoeuvre,false,n1,n5,type_c,1,11329,37994,97624,1,1,4,Active_v2,1,n_a
Goal number 22e0ae54,T #4,fire_team_a,manoeuvre,false,n1,n3,type_a,3,47059,85118,97624,1,1,4,Active_v2,1,n_a
Goal number 22e0ae54,T #5,fire_team_b,manoeuvre,false,n4,n5,type_b,2,6988,92159,97624,1,1,4,Active_v2,1,n_a
Goal number 22e0ae54,T #6,fire_team_a,manoeuvre,false,n1,n2,type_c,1,5371,97582,97624,1,1,4,Active_v2,1,n_a
Goal number e596e775,T #1,fire_team_a,manoeuvre,false,n2,n1,type_a,3,30607,30697,105682,2,2,2,Active_v2,1,n_a
Goal number e596e775,T #2,fire_team_b,manoeuvre,false,n4,n3,type_c,2,10581,41333,105682,2,2,2,Active_v2,1,n_a
Goal number e596e775,T #3,fire_team_b,manoeuvre,false,n6,n4,type_c,1,5824,47215,105682,2,2,2,Active_v2,1,n_a
Goal number e596e775,T #4,fire_team_b,manoeuvre,false,n6,n1,type_b,3,10471,57743,105682,2,2,2,Active_v2,1,n_a
Goal number e596e775,T #5,fire_team_a,manoeuvre,false,n1,n4,type_a,1,37404,95200,105682,2,2,2,Active_v2,1,n_a
Goal number e596e775,T #6,fire_team_b,manoeuvre,false,n5,n4,type_b,3,10351,105616,105682,2,2,2,Active_v2,1,n_a
Goal number 944cb5a4,T #1,fire_team_a,manoeuvre,false,n3,n1,type_b,1,3864,3935,87512,3,1,2,Active_v2,1,n_a
Goal number 944cb5a4,T #2,fire_team_a,manoeuvre,false,n1,n6,type_c,2,10950,14952,87512,3,1,2,Active_v2,1,n_a
Goal number 944cb5a4,T #3,fire_team_a,manoeuvre,false,n1,n3,type_a,2,21089,36087,87512,3,1,2,Active_v2,1,n_a
Goal number 944cb5a4,T #4,fire_team_b,manoeuvre,false,n4,n6,type_a,3,30308,66462,87512,3,1,2,Active_v2,1,n_a
Goal number 944cb5a4,T #5,fire_team_a,manoeuvre,false,n3,n3,type_c,2,10500,77034,87512,3,1,2,Active_v2,1,n_a
Goal number 944cb5a4,T #6,fire_team_a,manoeuvre,false,n2,n5,type_a,1,10392,87468,87512,3,1,2,Active_v2,1,n_a
